Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
SearchAPI_Corp_Keyword_MPN[2],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report41.html
SearchAPI_Corp_Keyword_BoostBurry[6],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report42.html
SearchAPI_Corp_Keyword_MPN[3],,,0.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report43.html
SearchAPI_Corp_MultipleBrand[2],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report44.html
SearchAPI_Corp_Brand[2],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report45.html
SearchAPI_Corp_Keyword_BoostBurry[7],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report46.html
SearchAPI_Corp_Keyword_redirect[7],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report47.html
SearchAPI_Corp_Contract[5],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report48.html
SearchAPI_Corp_Keyword_BoostBurry[8],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report49.html
SearchAPI_Corp_KeywordOnly[6],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report50.html
SearchAPI_Corp_Keyword_Edc[2],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report51.html
SearchAPI_Corp_Keyword_redirect[8],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report52.html
SearchAPI_Corp_Contract[6],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report53.html
SearchAPI_Corp_Keyword_SearchWithin[5],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report54.html
SearchAPI_Corp_Keyword_BoostBurry[9],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report55.html
SearchAPI_Corp_MultipleBrand[3],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report56.html
SearchAPI_Corp_Keyword_BoostBurry[10],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report57.html
SearchAPI_Corp_Keyword_redirect[9],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report58.html
SearchAPI_Corp_Keyword_Cloud[2],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report59.html
SearchAPI_Corp_Brand[3],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report60.html
SearchAPI_Corp_Keyword_redirect[10],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report61.html
SearchAPI_Corp_Sort_Price[4],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report62.html
SearchAPI_Corp_Sort_Price[5],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report63.html
SearchAPI_Corp_Sort_Price[6],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report64.html
SearchAPI_Corp_Sort_MostReviews[5],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report65.html
SearchAPI_Corp_Brand[4],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report66.html
SearchAPI_Corp_Contract[7],,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report67.html
SearchAPI_Corp_Keyword_Edc[3],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report68.html
SearchAPI_Corp_MultipleBrand[4],,,1.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report69.html
SearchAPI_Corp_25Results,,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report70.html
SearchAPI_Corp_50Results[2],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report71.html
SearchAPI_Corp_Keyword_redirect[11],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report72.html
SearchAPI_Corp_Sort_Price[7],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report73.html
SearchAPI_Corp_MultipleBrand[5],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report74.html
SearchAPI_Corp_Keyword_Edc[4],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report75.html
SearchAPI_Corp_KeywordOnly[7],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report76.html
SearchAPI_Corp_Keyword_SearchWithin[6],,,0.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report77.html
SearchAPI_Corp_MultipleBrand[6],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report78.html
SearchAPI_Corp_MultipleContract[2],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report79.html
SearchAPI_Corp_Keyword_BoostBurry[11],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report80.html
SearchAPI_Corp_Keyword_redirect[12],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report81.html
SearchAPI_Corp_KeywordOnly[8],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report82.html
SearchAPI_Corp_KeywordOnly[9],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report83.html
SearchAPI_Corp_Brand[5],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report84.html
SearchAPI_Corp_Keyword_SearchWithin[7],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report85.html
SearchAPI_Corp_Keyword_MPN[4],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report86.html
SearchAPI_Corp_Keyword_BoostBurry[12],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report87.html
SearchAPI_Corp_Webclass[4],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report88.html
SearchAPI_Corp_Keyword_redirect[13],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report89.html
SearchAPI_Corp_Webclass[5],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report90.html
SearchAPI_Corp_Webclass[6],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report91.html
SearchAPI_Corp_Webclass[7],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report92.html
SearchAPI_Corp_Keyword_redirect[14],,,0.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report93.html
SearchAPI_Corp_MultipleContract[3],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report94.html
SearchAPI_Corp_Brand[6],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report95.html
SearchAPI_Corp_Sort_MostReviews[6],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report96.html
SearchAPI_Corp_KeywordOnly[10],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report97.html
SearchAPI_Corp_Keyword_BoostBurry[13],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report98.html
SearchAPI_Corp_Brand[7],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report99.html
SearchAPI_Corp_Keyword_MPN[5],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report100.html
